('d', 38.63300950769484, 12.957826315452994)
('u', 10.10836387308432, 94.80671615213785)
('l', 11.123733637680761, 91.88038840969124)
('d', 38.697557751137595, 12.950602836202469)
('u', 67.22220338574824, 94.8002150209846)
('d', 95.74684902035872, 12.94475181831953)
('r', 96.62666747218643, 21.723735045659403)
('u', 70.95448640103699, 94.79494910502945)
('d', 42.429840766426345, 12.940012494085453)
('u', 13.905195131815837, 94.79068371333177)
('l', 11.117924294539815, 80.15904500109863)
('d', 34.888462323381376, 12.936173641659085)
('u', 63.4131079579915, 94.78722874623958)
('d', 91.93775359260174, 12.933064171358637)
('r', 96.6214390634969, 33.417358368485026)
('u', 74.75254407696231, 94.7844302230433)
('d', 46.22789844235218, 12.930545500548712)
('u', 17.70325280774204, 94.78216341937443)
('l', 11.113218726844732, 68.44521373735478)
('d', 31.080470671072096, 12.928505377300798)
('u', 59.60511630568272, 94.78032730849992)
('d', 88.12976194029397, 12.926852877557744)
('r', 96.61720405268564, 45.116458044470534)
('u', 78.55159515076507, 94.77884005877033)
('d', 50.02694951615389, 12.925514352836567)
('u', 21.502303881542723, 94.77763538655319)
('l', 11.109407217212821, 56.7353747347472)
('d', 27.27337307682584, 12.924430147869863)
('u', 55.79801871143702, 94.77665960210895)
('d', 84.32266434604823, 12.923551941893354)
('r', 96.61377369410872, 56.81846807859259)
('u', 82.351450876803, 94.77586921675105)
