('r', 33.87106822121565, 50.74162348684638)
('d', 53.285871040059305, 21.149633005237238)
('l', 70.90886479552975, 58.74540394945582)
('r', 35.774632533806695, 56.639841238948506)
('d', 61.157393570555804, 19.865202023965836)
('l', 75.42214888979818, 48.749002793317075)
('r', 30.82395832006546, 45.22149168231018)
('d', 47.2518683975477, 21.022510278698174)
('l', 67.86298497383694, 63.99935278989103)
('r', 38.87131783154527, 61.79235821698331)
('d', 67.42692399788722, 19.756908353923627)
('l', 78.5194206637842, 43.36820419368844)
('r', 27.760020806275534, 39.73808234759195)
('d', 41.20103814239815, 20.92976759508135)
('l', 64.80005192895587, 69.28755151331276)
('r', 41.953711886026014, 66.97753162804537)
('d', 73.68216318196015, 19.678005472827145)
('l', 81.60220124693424, 38.016681028633435)
('r', 24.683946537781203, 34.28259011890855)
('d', 35.13807113254346, 20.86215030623003)
('l', 61.724805163979646, 74.60077353608354)
('r', 45.02579923104903, 72.18657044770492)
('d', 79.92709565657766, 19.620581458900517)
('l', 84.67451869188993, 32.68654648339857)
('r', 21.599119968697828, 28.84749948834942)
('d', 29.06635182209939, 20.81289445520399)
('l', 58.640667984556295, 79.93227731560854)
('r', 48.090454519941346, 77.4130496635505)
('d', 86.16459607506062, 19.578853801123593)
('l', 87.73928227058728, 27.372038019242368)
('r', 18.50798266186699, 23.427317749346397)
('d', 22.98832177390822, 20.777056606223052)
('l', 55.55011274637723, 85.27713718120944)
('r', 51.149751404191946, 82.65227362656104)
('d', 92.3967380889056, 19.548596415493115)
('l', 90.79859298018489, 22.068945328503936)
('r', 15.41229573711111, 18.01803067731054)
('d', 16.90574210779151, 20.751023957252684)
('l', 52.45492481741075, 90.6317543201724)
('r', 54.20518552409648, 87.90081067460196)
('l', 66.79587651330253, 66.7513474365451)
